s2025-03-25 12:03:05,199 - INFO - Loading markdown documents from ./data...
2025-03-25 12:03:06,610 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:07,924 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:07,949 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:07,963 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:07,979 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,017 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,025 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,067 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,086 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,093 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,100 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,103 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,112 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,116 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,122 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,133 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,146 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
2025-03-25 12:03:08,179 - WARNING - libmagic is unavailable but assists in filetype detection. Please consider installing libmagic for better results.
